country,date,region,new_cases,total_cases,new_deaths,total_deaths,new_recoveries,total_recoveries,active_cases,hosp_patients,taux_letalite,reproduction_rate,stringency_index,population,code,continent,new_cases_smoothed,taux_incidence
Madagascar,2020-03-20,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.16,79.3,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-21,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.37,67.1,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-22,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.44,69.4,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-23,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.32,68.6,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-24,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.39,74.5,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-25,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.29,60.5,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-26,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.34,75.6,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-27,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.17,68.3,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-28,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.45,73.7,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-29,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.27,83.4,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-30,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.42,62.4,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-03-31,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.44,63.7,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-04-01,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.17,61.9,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-04-02,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.29,76.1,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-04-03,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.4,60.7,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-04-04,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.17,75.5,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-04-05,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.31,61.3,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-04-06,Alaotra-Mangoro,0,0,0,0,0,0,0,0,0.0,1.47,79.0,1479918,MDG,Africa,0.0,0.0
Madagascar,2020-04-07,Alaotra-Mangoro,1,1,0,0,0,0,1,0,0.0,1.24,73.4,1479918,MDG,Africa,0.14,0.0095
Madagascar,2020-04-08,Alaotra-Mangoro,1,2,0,0,0,0,2,0,0.0,1.25,71.4,1479918,MDG,Africa,0.29,0.0196
Madagascar,2020-04-09,Alaotra-Mangoro,1,3,0,0,0,0,3,0,0.0,1.34,70.0,1479918,MDG,Africa,0.43,0.0291
Madagascar,2020-04-10,Alaotra-Mangoro,1,4,0,0,0,0,4,0,0.0,1.35,71.6,1479918,MDG,Africa,0.57,0.0385
Madagascar,2020-04-11,Alaotra-Mangoro,1,5,0,0,0,0,5,0,0.0,1.36,66.6,1479918,MDG,Africa,0.71,0.048
Madagascar,2020-04-12,Alaotra-Mangoro,1,6,0,0,0,0,6,0,0.0,1.17,60.3,1479918,MDG,Africa,0.86,0.0581
Madagascar,2020-04-13,Alaotra-Mangoro,1,7,0,0,0,0,7,0,0.0,1.34,84.5,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-14,Alaotra-Mangoro,1,8,0,0,0,0,8,0,0.0,1.27,65.3,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-15,Alaotra-Mangoro,1,9,0,0,0,0,9,0,0.0,1.11,72.8,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-16,Alaotra-Mangoro,1,10,0,0,0,0,10,0,0.0,1.5,84.6,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-17,Alaotra-Mangoro,1,11,0,0,0,0,11,0,0.0,1.14,80.4,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-18,Alaotra-Mangoro,1,12,0,0,0,0,12,1,0.0,1.17,80.2,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-19,Alaotra-Mangoro,1,13,0,0,1,1,12,1,0.0,1.44,60.2,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-20,Alaotra-Mangoro,1,14,0,0,1,2,12,1,0.0,1.19,61.4,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-21,Alaotra-Mangoro,1,15,0,0,1,3,12,1,0.0,1.3,60.7,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-22,Alaotra-Mangoro,1,16,0,0,1,4,12,1,0.0,1.35,74.0,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-23,Alaotra-Mangoro,1,17,0,0,1,5,12,1,0.0,1.25,71.5,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-24,Alaotra-Mangoro,1,18,0,0,1,6,12,1,0.0,1.5,64.2,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-25,Alaotra-Mangoro,1,19,0,0,1,7,12,1,0.0,1.39,76.1,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-26,Alaotra-Mangoro,1,20,0,0,1,8,12,1,0.0,1.37,68.6,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-27,Alaotra-Mangoro,1,21,0,0,1,9,12,1,0.0,1.19,76.3,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-28,Alaotra-Mangoro,1,22,0,0,1,10,12,1,0.0,1.47,84.4,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-29,Alaotra-Mangoro,1,23,0,0,1,11,12,1,0.0,1.29,70.6,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-04-30,Alaotra-Mangoro,1,24,0,0,1,12,12,1,0.0,1.24,80.2,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-01,Alaotra-Mangoro,1,25,0,0,1,13,12,1,0.0,1.2,72.8,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-02,Alaotra-Mangoro,1,26,0,0,1,14,12,1,0.0,1.24,81.9,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-03,Alaotra-Mangoro,1,27,0,0,1,15,12,1,0.0,1.21,77.2,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-04,Alaotra-Mangoro,1,28,0,0,1,16,12,1,0.0,1.34,68.2,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-05,Alaotra-Mangoro,1,29,0,0,1,17,12,1,0.0,1.2,80.1,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-06,Alaotra-Mangoro,1,30,0,0,1,18,12,1,0.0,1.3,75.3,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-07,Alaotra-Mangoro,1,31,0,0,1,19,12,1,0.0,1.48,70.0,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-08,Alaotra-Mangoro,1,32,0,0,1,20,12,1,0.0,1.43,76.0,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-09,Alaotra-Mangoro,1,33,0,0,1,21,12,1,0.0,1.34,61.4,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-10,Alaotra-Mangoro,1,34,0,0,1,22,12,1,0.0,1.46,65.7,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-11,Alaotra-Mangoro,1,35,0,0,1,23,12,1,0.0,1.29,78.8,1479918,MDG,Africa,1.0,0.0676
Madagascar,2020-05-12,Alaotra-Mangoro,2,37,0,0,1,24,13,1,0.0,1.31,60.1,1479918,MDG,Africa,1.14,0.077
Madagascar,2020-05-13,Alaotra-Mangoro,2,39,0,0,1,25,14,1,0.0,1.48,60.5,1479918,MDG,Africa,1.29,0.0872
Madagascar,2020-05-14,Alaotra-Mangoro,1,40,0,0,1,26,14,1,0.0,1.14,65.6,1479918,MDG,Africa,1.29,0.0872
Madagascar,2020-05-15,Alaotra-Mangoro,2,42,0,0,1,27,15,1,0.0,1.34,84.3,1479918,MDG,Africa,1.43,0.0966
Madagascar,2020-05-16,Alaotra-Mangoro,2,44,0,0,1,28,16,1,0.0,1.47,76.3,1479918,MDG,Africa,1.57,0.1061
Madagascar,2020-05-17,Alaotra-Mangoro,2,46,0,0,1,29,17,1,0.0,1.4,77.8,1479918,MDG,Africa,1.71,0.1155
Madagascar,2020-05-18,Alaotra-Mangoro,2,48,0,0,1,30,18,1,0.0,1.37,80.3,1479918,MDG,Africa,1.86,0.1257
Madagascar,2020-05-19,Alaotra-Mangoro,2,50,0,0,1,31,19,1,0.0,1.24,65.5,1479918,MDG,Africa,1.86,0.1257
Madagascar,2020-05-20,Alaotra-Mangoro,2,52,0,0,1,32,20,1,0.0,1.24,61.2,1479918,MDG,Africa,1.86,0.1257
Madagascar,2020-05-21,Alaotra-Mangoro,2,54,0,0,1,33,21,1,0.0,1.49,78.5,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-22,Alaotra-Mangoro,2,56,0,0,1,34,22,1,0.0,1.19,66.4,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-23,Alaotra-Mangoro,2,58,0,0,1,35,23,1,0.0,1.5,79.2,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-24,Alaotra-Mangoro,2,60,0,0,2,37,23,1,0.0,1.27,65.2,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-25,Alaotra-Mangoro,2,62,0,0,2,39,23,1,0.0,1.12,76.7,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-26,Alaotra-Mangoro,2,64,0,0,1,40,24,1,0.0,1.41,62.7,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-27,Alaotra-Mangoro,2,66,0,0,2,42,24,1,0.0,1.1,68.9,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-28,Alaotra-Mangoro,2,68,0,0,2,44,24,1,0.0,1.37,83.1,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-29,Alaotra-Mangoro,2,70,0,0,2,46,24,1,0.0,1.45,77.2,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-30,Alaotra-Mangoro,2,72,0,0,2,48,24,1,0.0,1.43,68.9,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-05-31,Alaotra-Mangoro,2,74,0,0,2,50,24,1,0.0,1.2,63.1,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-06-01,Alaotra-Mangoro,2,76,0,0,2,52,24,1,0.0,1.17,84.1,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-06-02,Alaotra-Mangoro,2,78,0,0,2,54,24,1,0.0,1.47,61.2,1479918,MDG,Africa,2.0,0.1351
Madagascar,2020-06-03,Alaotra-Mangoro,3,81,0,0,2,56,25,1,0.0,1.29,69.3,1479918,MDG,Africa,2.14,0.1446
Madagascar,2020-06-04,Alaotra-Mangoro,3,84,0,0,2,58,26,1,0.0,1.36,68.2,1479918,MDG,Africa,2.29,0.1547
Madagascar,2020-06-05,Alaotra-Mangoro,2,86,0,0,2,60,26,1,0.0,1.21,80.2,1479918,MDG,Africa,2.29,0.1547
Madagascar,2020-06-06,Alaotra-Mangoro,3,89,0,0,2,62,27,1,0.0,1.48,65.1,1479918,MDG,Africa,2.43,0.1642
Madagascar,2020-06-07,Alaotra-Mangoro,3,92,0,0,2,64,28,1,0.0,1.19,70.5,1479918,MDG,Africa,2.57,0.1737
Madagascar,2020-06-08,Alaotra-Mangoro,3,95,0,0,2,66,29,1,0.0,1.38,64.2,1479918,MDG,Africa,2.71,0.1831
Madagascar,2020-06-09,Alaotra-Mangoro,3,98,0,0,2,68,30,1,0.0,1.29,81.0,1479918,MDG,Africa,2.86,0.1933
Madagascar,2020-06-10,Alaotra-Mangoro,3,101,0,0,2,70,31,1,0.0,1.19,61.2,1479918,MDG,Africa,2.86,0.1933
Madagascar,2020-06-11,Alaotra-Mangoro,3,104,0,0,2,72,32,1,0.0,1.46,79.7,1479918,MDG,Africa,2.86,0.1933
Madagascar,2020-06-12,Alaotra-Mangoro,3,107,0,0,2,74,33,1,0.0,1.38,62.2,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-13,Alaotra-Mangoro,3,110,0,0,2,76,34,2,0.0,1.46,67.6,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-14,Alaotra-Mangoro,3,113,0,0,2,78,35,2,0.0,1.18,72.2,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-15,Alaotra-Mangoro,3,116,0,0,3,81,35,2,0.0,1.47,84.9,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-16,Alaotra-Mangoro,3,119,0,0,3,84,35,2,0.0,1.35,83.9,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-17,Alaotra-Mangoro,3,122,0,0,2,86,36,2,0.0,1.28,60.7,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-18,Alaotra-Mangoro,3,125,0,0,3,89,36,2,0.0,1.21,67.5,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-19,Alaotra-Mangoro,3,128,0,0,3,92,36,2,0.0,1.41,63.1,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-20,Alaotra-Mangoro,3,131,0,0,3,95,36,2,0.0,1.17,75.4,1479918,MDG,Africa,3.0,0.2027
Madagascar,2020-06-21,Alaotra-Mangoro,4,135,0,0,3,98,37,2,0.0,1.15,72.4,1479918,MDG,Africa,3.14,0.2122
Madagascar,2020-06-22,Alaotra-Mangoro,4,139,0,0,3,101,38,2,0.0,1.11,76.7,1479918,MDG,Africa,3.29,0.2223
Madagascar,2020-06-23,Alaotra-Mangoro,4,143,0,0,3,104,39,2,0.0,1.46,81.9,1479918,MDG,Africa,3.43,0.2318
Madagascar,2020-06-24,Alaotra-Mangoro,4,147,0,0,3,107,40,2,0.0,1.13,74.8,1479918,MDG,Africa,3.57,0.2412
Madagascar,2020-06-25,Alaotra-Mangoro,4,151,0,0,3,110,41,2,0.0,1.14,61.3,1479918,MDG,Africa,3.71,0.2507
Madagascar,2020-06-26,Alaotra-Mangoro,4,155,0,0,3,113,42,2,0.0,1.34,74.3,1479918,MDG,Africa,3.86,0.2608
Madagascar,2020-06-27,Alaotra-Mangoro,4,159,0,0,3,116,43,2,0.0,1.14,69.0,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-06-28,Alaotra-Mangoro,4,163,0,0,3,119,44,2,0.0,1.23,68.6,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-06-29,Alaotra-Mangoro,4,167,0,0,3,122,45,2,0.0,1.23,80.6,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-06-30,Alaotra-Mangoro,4,171,0,0,3,125,46,2,0.0,1.24,68.3,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-07-01,Alaotra-Mangoro,4,175,0,0,3,128,47,2,0.0,1.11,79.8,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-07-02,Alaotra-Mangoro,4,179,0,0,3,131,48,2,0.0,1.36,68.5,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-07-03,Alaotra-Mangoro,4,183,0,0,4,135,48,2,0.0,1.28,79.9,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-07-04,Alaotra-Mangoro,4,187,0,0,4,139,48,2,0.0,1.24,71.8,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-07-05,Alaotra-Mangoro,4,191,0,0,4,143,48,2,0.0,1.11,83.0,1479918,MDG,Africa,4.0,0.2703
Madagascar,2020-07-06,Alaotra-Mangoro,5,196,0,0,4,147,49,2,0.0,1.25,67.4,1479918,MDG,Africa,4.14,0.2797
Madagascar,2020-07-07,Alaotra-Mangoro,4,200,0,0,4,151,49,2,0.0,1.34,73.2,1479918,MDG,Africa,4.14,0.2797
Madagascar,2020-07-08,Alaotra-Mangoro,5,205,0,0,4,155,50,2,0.0,1.26,83.1,1479918,MDG,Africa,4.29,0.2899
Madagascar,2020-07-09,Alaotra-Mangoro,4,209,0,0,4,159,50,2,0.0,1.25,85.0,1479918,MDG,Africa,4.29,0.2899
Madagascar,2020-07-10,Alaotra-Mangoro,4,213,0,0,4,163,50,2,0.0,1.42,82.6,1479918,MDG,Africa,4.29,0.2899
Madagascar,2020-07-11,Alaotra-Mangoro,5,218,0,0,4,167,51,2,0.0,1.21,61.8,1479918,MDG,Africa,4.43,0.2993
Madagascar,2020-07-12,Alaotra-Mangoro,5,223,0,0,4,171,52,2,0.0,1.27,67.8,1479918,MDG,Africa,4.57,0.3088
Madagascar,2020-07-13,Alaotra-Mangoro,5,228,0,0,4,175,53,2,0.0,1.12,61.8,1479918,MDG,Africa,4.57,0.3088
