date,annee,mois,semaine_epidemio,region,latitude_region,longitude_region,population_region,femmes_enceintes,enfants_moins_5_ans,naissances_semaine,porteurs_chroniques_estimes,prevalence_aghbs_region,femmes_enceintes_depistees,femmes_enceintes_aghbs_positives,enfants_exposes_aghbs,enfants_vaccines_naissance,enfants_devenus_porteurs,taux_transmission_mere_enfant,couverture_vaccinale_naissance,cas_chroniques_enfants,cas_chroniques_adultes,cas_chroniques_seniors,cas_aigus,nouveaux_diagnostics_aghbs,cas_chroniques_suivis,deces,new_recoveries,total_recoveries,tests_depistage,personnes_traitees,taux_incidence,taux_letalite,taux_depistage,taux_positivite_aghbs
2020-01-01,2020,1,2020-W01,Analamanga,-18.9137,47.5247,4290727,128721,643609,2062,265596,0.0619,30385,1968,127,937,15,11.81,45.44,4064,17612,5420,0,989,27096,0,0,0,18501,7055,0.0619,0.0,0.4312,6.48
2020-01-01,2020,1,2020-W01,Bongolava,-18.9333,45.6667,794456,23833,119168,381,52831,0.0665,5400,338,25,165,3,12.0,43.57,759,3290,1013,0,258,5062,0,0,0,3661,1293,0.0665,0.0,0.4608,6.26
2020-01-01,2020,1,2020-W01,Itasy,-19.0167,46.7667,1063882,31916,159582,511,64152,0.0603,6041,361,30,236,3,10.0,46.28,982,4259,1312,0,351,6553,0,0,0,5349,1530,0.0603,0.0,0.5028,5.98
2020-01-01,2020,1,2020-W01,Vakinankaratra,-19.8667,47.0333,2462316,73869,369347,1183,158326,0.0643,17525,1196,76,521,9,11.84,44.12,2372,10281,3164,0,871,15817,1,0,0,13218,3586,0.0643,0.01,0.5368,6.82
2020-01-01,2020,1,2020-W01,Amoron'i Mania,-20.0,47.1167,991145,29734,148671,476,66010,0.0666,5498,367,31,215,3,9.68,45.21,1068,4629,1425,0,456,7122,0,0,0,5886,1815,0.0666,0.0,0.5939,6.68
2020-01-01,2020,1,2020-W01,Haute Matsiatra,-21.4536,47.0854,1710391,51311,256558,822,114254,0.0668,9014,547,54,363,7,12.96,44.21,1638,7100,2186,0,616,10924,0,0,0,7769,2754,0.0668,0.0,0.4542,6.07
2020-01-01,2020,1,2020-W01,Vatovavy,-21.3167,47.9333,576905,17307,86535,277,44998,0.078,2872,245,21,128,2,9.52,46.23,705,3058,942,0,213,4705,0,0,0,2313,1240,0.078,0.0,0.4009,8.53
2020-01-01,2020,1,2020-W01,Fitovinany,-21.45,47.6167,1011279,30338,151691,486,75036,0.0742,5135,408,36,221,4,11.11,45.55,1177,5101,1570,0,300,7848,0,0,0,4173,2015,0.0742,0.0,0.4126,7.95
2020-01-01,2020,1,2020-W01,Ihorombe,-22.55,46.95,494097,14822,74114,237,34043,0.0689,2513,180,16,109,2,12.5,46.17,503,2180,671,0,197,3354,0,0,0,2738,758,0.0689,0.0,0.5541,7.16
2020-01-01,2020,1,2020-W01,Atsimo-Atsinanana,-22.9,47.65,1220000,36600,183000,586,91256,0.0748,7719,555,43,263,6,13.95,45.04,1294,5609,1727,0,415,8630,0,0,0,5488,1974,0.0748,0.0,0.4498,7.19
2020-01-01,2020,1,2020-W01,Atsinanana,-18.1492,49.4023,1750511,52515,262576,841,127962,0.0731,12308,955,61,383,9,14.75,45.6,1934,8382,2580,0,658,12896,0,0,0,9815,3422,0.0731,0.0,0.5607,7.76
2020-01-01,2020,1,2020-W01,Analanjirofo,-17.3333,49.4,864183,25925,129627,415,62307,0.0721,4376,298,29,185,4,13.79,44.67,919,3982,1226,0,300,6127,0,0,0,4944,1446,0.0721,0.0,0.5721,6.81
2020-01-01,2020,1,2020-W01,Ambatosoa,-21.0333,47.6333,652462,19573,97869,313,49260,0.0755,4608,335,23,141,3,13.04,45.08,702,3042,937,0,290,4681,0,0,0,3084,1169,0.0755,0.0,0.4727,7.27
2020-01-01,2020,1,2020-W01,Alaotra-Mangoro,-17.8333,48.4167,1479918,44397,221987,711,103446,0.0699,7234,516,49,320,5,10.2,45.01,1441,6245,1923,0,575,9609,1,0,0,6744,2397,0.0699,0.01,0.4557,7.13
2020-01-01,2020,1,2020-W01,Boeny,-15.7167,46.3167,1100305,33009,165045,528,102988,0.0936,7292,646,49,243,6,12.24,46.03,1418,6145,1891,0,599,9454,0,0,0,5792,2521,0.0936,0.0,0.5264,8.86
2020-01-01,2020,1,2020-W01,Sofia,-14.8833,48.0333,1784988,53549,267748,858,156186,0.0875,8742,778,75,392,8,10.67,45.8,2190,9490,2921,0,733,14601,0,0,0,8968,3789,0.0875,0.0,0.5024,8.9
2020-01-01,2020,1,2020-W01,Betsiboka,-16.95,46.8167,465641,13969,69846,223,40697,0.0874,2388,202,19,96,2,10.53,43.26,649,2812,866,0,222,4327,0,0,0,2679,1093,0.0874,0.0,0.5753,8.46
2020-01-01,2020,1,2020-W01,Melaky,-16.1167,44.7667,365790,10973,54868,175,32555,0.089,1837,176,15,81,1,6.67,46.8,527,2284,703,0,150,3514,0,0,0,1711,946,0.089,0.0,0.4678,9.58
2020-01-01,2020,1,2020-W01,Atsimo-Andrefana,-23.35,43.6667,2128706,63861,319305,1023,177108,0.0832,10647,825,85,478,11,12.94,46.79,2393,10372,3192,0,628,15957,0,0,0,8553,3718,0.0832,0.0,0.4018,7.75
2020-01-01,2020,1,2020-W01,Menabe,-20.2833,44.7833,819876,24596,122981,394,69443,0.0847,5218,417,33,181,3,9.09,45.95,1114,4828,1487,0,372,7429,0,0,0,3813,1915,0.0847,0.0,0.4651,7.99
2020-01-01,2020,1,2020-W01,Diana,-12.2787,49.2917,1053715,31611,158057,506,80398,0.0763,5987,435,38,221,5,13.16,43.85,1276,5533,1704,0,467,8513,0,0,0,5043,2129,0.0763,0.0,0.4786,7.27
2020-01-01,2020,1,2020-W01,SAVA,-14.2833,50.1667,1330546,39916,199581,639,99125,0.0745,7010,545,47,281,5,10.64,44.01,1621,7027,2164,0,479,10812,0,0,0,7039,2927,0.0745,0.0,0.529,7.77
2020-01-01,2020,1,2020-W01,Androy,-25.1667,46.0833,1065878,31976,159881,512,85483,0.0802,7490,592,41,241,5,12.2,47.1,1372,5946,1830,0,469,9148,0,0,0,6081,2203,0.0802,0.0,0.5705,7.9
2020-01-01,2020,1,2020-W01,Anosy,-25.0333,46.9833,957916,28737,143687,460,76154,0.0795,6750,557,36,208,4,11.11,45.32,1146,4967,1530,0,500,7643,0,0,0,5009,2054,0.0795,0.0,0.5229,8.25
2020-01-08,2020,1,2020-W02,Analamanga,-18.9137,47.5247,4290727,128721,643609,2062,268170,0.0625,27829,1690,128,908,19,14.84,44.07,4031,17470,5376,0,1814,26877,0,0,0,24114,6721,0.0625,0.0,0.562,6.07
2020-01-08,2020,1,2020-W02,Bongolava,-18.9333,45.6667,794456,23833,119168,381,52275,0.0658,5151,358,25,178,3,12.0,46.76,711,3082,949,0,218,4742,0,0,0,3774,1177,0.0658,0.0,0.475,6.95
2020-01-08,2020,1,2020-W02,Itasy,-19.0167,46.7667,1063882,31916,159582,511,64152,0.0603,6615,361,30,219,4,13.33,42.92,1014,4394,1353,0,270,6761,0,0,0,5021,1594,0.0603,0.0,0.472,5.46
2020-01-08,2020,1,2020-W02,Vakinankaratra,-19.8667,47.0333,2462316,73869,369347,1183,154387,0.0627,12124,764,74,534,10,13.51,45.18,2233,9679,2980,0,1051,14892,0,0,0,13424,3942,0.0627,0.0,0.5452,6.3
2020-01-08,2020,1,2020-W02,Amoron'i Mania,-20.0,47.1167,991145,29734,148671,476,65514,0.0661,4944,295,31,224,4,12.9,47.08,915,3965,1221,0,357,6101,0,0,0,5344,1449,0.0661,0.0,0.5392,5.97
2020-01-08,2020,1,2020-W02,Haute Matsiatra,-21.4536,47.0854,1710391,51311,256558,822,116477,0.0681,10919,710,55,386,7,12.73,47.05,1659,7189,2212,0,652,11060,0,0,0,8737,2685,0.0681,0.0,0.5108,6.5
2020-01-08,2020,1,2020-W02,Vatovavy,-21.3167,47.9333,576905,17307,86535,277,43960,0.0762,2929,202,21,118,3,14.29,42.93,658,2852,878,0,246,4388,0,0,0,3119,1091,0.0762,0.0,0.5406,6.9
2020-01-08,2020,1,2020-W02,Fitovinany,-21.45,47.6167,1011279,30338,151691,486,75239,0.0744,5821,443,36,221,4,11.11,45.61,1209,5239,1612,0,394,8060,0,0,0,4802,2078,0.0744,0.0,0.4748,7.61
2020-01-08,2020,1,2020-W02,Ihorombe,-22.55,46.95,494097,14822,74114,237,33648,0.0681,3133,193,16,107,2,12.5,45.39,500,2168,668,0,173,3336,0,0,0,2545,841,0.0681,0.0,0.5151,6.16
2020-01-08,2020,1,2020-W02,Atsimo-Atsinanana,-22.9,47.65,1220000,36600,183000,586,92232,0.0756,8670,708,44,255,5,11.36,43.63,1434,6214,1912,0,328,9560,0,0,0,5125,2185,0.0756,0.0,0.4201,8.17
2020-01-08,2020,1,2020-W02,Atsinanana,-18.1492,49.4023,1750511,52515,262576,841,130588,0.0746,8500,673,62,370,7,11.29,44.02,2050,8886,2736,0,777,13672,0,0,0,9441,3625,0.0746,0.0,0.5393,7.92
2020-01-08,2020,1,2020-W02,Analanjirofo,-17.3333,49.4,864183,25925,129627,415,61961,0.0717,5704,434,29,195,3,10.34,47.21,1009,4373,1347,0,342,6729,0,0,0,4099,1802,0.0717,0.0,0.4743,7.61
2020-01-08,2020,1,2020-W02,Ambatosoa,-21.0333,47.6333,652462,19573,97869,313,49913,0.0765,4313,303,23,146,3,13.04,46.81,732,3172,976,0,274,4880,0,0,0,3688,1100,0.0765,0.0,0.5652,7.03
2020-01-08,2020,1,2020-W02,Alaotra-Mangoro,-17.8333,48.4167,1479918,44397,221987,711,102854,0.0695,8237,624,49,334,6,12.24,47.03,1489,6455,1988,0,556,9932,0,0,0,7789,2568,0.0695,0.0,0.5263,7.58
2020-01-08,2020,1,2020-W02,Boeny,-15.7167,46.3167,1100305,33009,165045,528,103428,0.094,7366,635,49,237,5,10.2,44.97,1505,6522,2007,0,540,10034,0,0,0,5610,2316,0.094,0.0,0.5099,8.62
2020-01-08,2020,1,2020-W02,Sofia,-14.8833,48.0333,1784988,53549,267748,858,158863,0.089,11216,918,76,370,11,14.47,43.13,2183,9461,2912,0,780,14556,1,0,0,7399,3336,0.089,0.01,0.4145,8.18
2020-01-08,2020,1,2020-W02,Betsiboka,-16.95,46.8167,465641,13969,69846,223,39998,0.0859,3143,294,19,105,2,10.53,47.19,606,2629,811,0,166,4046,0,0,0,2212,996,0.0859,0.0,0.475,9.35
2020-01-08,2020,1,2020-W02,Melaky,-16.1167,44.7667,365790,10973,54868,175,32445,0.0887,2188,175,15,78,1,6.67,44.86,510,2212,682,0,122,3404,0,0,0,1550,865,0.0887,0.0,0.4237,8.0
2020-01-08,2020,1,2020-W02,Atsimo-Andrefana,-23.35,43.6667,2128706,63861,319305,1023,175618,0.0825,11677,1034,84,447,13,15.48,43.76,2840,12307,3788,0,881,18935,1,0,0,8566,4759,0.0825,0.01,0.4024,8.86
2020-01-08,2020,1,2020-W02,Menabe,-20.2833,44.7833,819876,24596,122981,394,69115,0.0843,5842,494,33,179,4,12.12,45.58,1119,4852,1495,0,374,7466,0,0,0,4024,1696,0.0843,0.0,0.4908,8.46
2020-01-08,2020,1,2020-W02,Diana,-12.2787,49.2917,1053715,31611,158057,506,82505,0.0783,7309,567,39,230,4,10.26,45.54,1258,5452,1678,0,373,8388,2,0,0,4611,1919,0.0783,0.02,0.4376,7.76
2020-01-08,2020,1,2020-W02,SAVA,-14.2833,50.1667,1330546,39916,199581,639,99258,0.0746,7374,584,47,292,5,10.64,45.83,1555,6742,2076,0,685,10373,0,0,0,7746,2652,0.0746,0.0,0.5822,7.92
2020-01-08,2020,1,2020-W02,Androy,-25.1667,46.0833,1065878,31976,159881,512,87934,0.0825,7331,549,42,219,5,11.9,42.87,1343,5822,1793,0,620,8958,1,0,0,5991,2186,0.0825,0.01,0.5621,7.49
2020-01-08,2020,1,2020-W02,Anosy,-25.0333,46.9833,957916,28737,143687,460,76824,0.0802,5675,447,36,202,4,11.11,43.98,1266,5489,1690,0,519,8445,0,0,0,5488,2134,0.0802,0.0,0.5729,7.88
2020-01-15,2020,1,2020-W03,Analamanga,-18.9137,47.5247,4290727,128721,643609,2062,269886,0.0629,29344,1752,129,923,15,11.63,44.78,4187,18144,5584,0,1745,27915,0,0,0,25350,7143,0.0629,0.0,0.5908,5.97
2020-01-15,2020,1,2020-W03,Bongolava,-18.9333,45.6667,794456,23833,119168,381,51480,0.0648,5093,331,24,176,3,12.5,46.23,830,3597,1108,0,314,5535,0,0,0,4531,1357,0.0648,0.0,0.5703,6.5
2020-01-15,2020,1,2020-W03,Itasy,-19.0167,46.7667,1063882,31916,159582,511,63726,0.0599,7034,431,30,234,3,10.0,45.92,973,4216,1298,0,230,6487,0,0,0,4545,1586,0.0599,0.0,0.4272,6.13
2020-01-15,2020,1,2020-W03,Vakinankaratra,-19.8667,47.0333,2462316,73869,369347,1183,158080,0.0642,13877,893,75,547,9,12.0,46.28,2203,9549,2940,0,996,14692,0,0,0,12912,3986,0.0642,0.0,0.5244,6.44
2020-01-15,2020,1,2020-W03,Amoron'i Mania,-20.0,47.1167,991145,29734,148671,476,65217,0.0658,5849,421,31,214,4,12.9,44.97,905,3924,1208,0,323,6037,0,0,0,5220,1396,0.0658,0.0,0.5267,7.2
2020-01-15,2020,1,2020-W03,Haute Matsiatra,-21.4536,47.0854,1710391,51311,256558,822,114425,0.0669,10840,679,54,364,8,14.81,44.31,1610,6979,2149,0,634,10738,0,0,0,8462,2437,0.0669,0.0,0.4947,6.26
2020-01-15,2020,1,2020-W03,Vatovavy,-21.3167,47.9333,576905,17307,86535,277,44306,0.0768,3014,212,21,119,2,9.52,43.29,689,2989,921,0,194,4599,0,0,0,2545,1043,0.0768,0.0,0.4411,7.03
2020-01-15,2020,1,2020-W03,Fitovinany,-21.45,47.6167,1011279,30338,151691,486,75643,0.0748,5052,406,36,227,4,11.11,46.89,1063,4606,1418,0,405,7087,0,0,0,4605,1668,0.0748,0.0,0.4554,8.04
2020-01-15,2020,1,2020-W03,Ihorombe,-22.55,46.95,494097,14822,74114,237,34092,0.069,3104,208,16,106,2,12.5,44.83,551,2390,737,0,131,3678,0,0,0,2012,921,0.069,0.0,0.4072,6.7
2020-01-15,2020,1,2020-W03,Atsimo-Atsinanana,-22.9,47.65,1220000,36600,183000,586,91500,0.075,7166,540,43,256,5,11.63,43.84,1293,5603,1725,0,369,8621,0,0,0,5800,2080,0.075,0.0,0.4754,7.54
2020-01-15,2020,1,2020-W03,Atsinanana,-18.1492,49.4023,1750511,52515,262576,841,130763,0.0747,10896,843,62,389,8,12.9,46.3,2057,8916,2745,0,581,13718,0,0,0,7306,3382,0.0747,0.0,0.4174,7.74
2020-01-15,2020,1,2020-W03,Analanjirofo,-17.3333,49.4,864183,25925,129627,415,62221,0.072,4901,363,29,188,3,10.34,45.32,858,3721,1147,0,406,5726,0,0,0,5161,1332,0.072,0.0,0.5972,7.41
2020-01-15,2020,1,2020-W03,Ambatosoa,-21.0333,47.6333,652462,19573,97869,313,48999,0.0751,3423,246,23,136,3,13.04,43.53,805,3491,1076,0,216,5372,0,0,0,2714,1238,0.0751,0.0,0.416,7.19
2020-01-15,2020,1,2020-W03,Alaotra-Mangoro,-17.8333,48.4167,1479918,44397,221987,711,105666,0.0714,10177,772,50,312,6,12.0,43.91,1607,6966,2144,0,693,10717,0,0,0,7898,2561,0.0714,0.0,0.5337,7.59
2020-01-15,2020,1,2020-W03,Boeny,-15.7167,46.3167,1100305,33009,165045,528,101558,0.0923,6136,557,48,237,5,10.42,45.03,1548,6708,2064,0,470,10320,0,0,0,4653,2401,0.0923,0.0,0.4229,9.08
2020-01-15,2020,1,2020-W03,Sofia,-14.8833,48.0333,1784988,53549,267748,858,157792,0.0884,8789,751,75,371,9,12.0,43.35,2250,9752,3002,0,920,15004,0,0,0,10674,3887,0.0884,0.0,0.598,8.54
2020-01-15,2020,1,2020-W03,Betsiboka,-16.95,46.8167,465641,13969,69846,223,40277,0.0865,2762,234,19,98,2,10.53,44.32,631,2738,844,0,283,4213,0,0,0,2636,1145,0.0865,0.0,0.5661,8.47
2020-01-15,2020,1,2020-W03,Melaky,-16.1167,44.7667,365790,10973,54868,175,32372,0.0885,2406,216,15,81,1,6.67,46.54,452,1962,605,0,167,3019,0,0,0,2044,802,0.0885,0.0,0.5588,8.98
2020-01-15,2020,1,2020-W03,Atsimo-Andrefana,-23.35,43.6667,2128706,63861,319305,1023,176469,0.0829,12050,1074,84,455,12,14.29,44.52,2541,11014,3390,0,859,16945,0,0,0,10384,4446,0.0829,0.0,0.4878,8.91
