date,annee,mois,semaine_epidemio,region,latitude_region,longitude_region,niveau_risque,population_region,cas_buboniques,cas_pulmonaires,cas_septiques,cas_totaux,cas_graves,deces,contacts_suivis,prophylaxie_administree,taux_incidence,taux_letalite,taux_contamination
2020-01-06,2020,1,2020-W02,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-01-13,2020,1,2020-W03,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-01-20,2020,1,2020-W04,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-01-27,2020,1,2020-W05,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-02-03,2020,2,2020-W06,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-02-10,2020,2,2020-W07,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-02-17,2020,2,2020-W08,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-02-24,2020,2,2020-W09,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-03-02,2020,3,2020-W10,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-03-09,2020,3,2020-W11,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-03-16,2020,3,2020-W12,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-03-23,2020,3,2020-W13,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-03-30,2020,3,2020-W14,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-04-06,2020,4,2020-W15,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-04-13,2020,4,2020-W16,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-04-20,2020,4,2020-W17,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-04-27,2020,4,2020-W18,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-05-04,2020,5,2020-W19,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-05-11,2020,5,2020-W20,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-05-18,2020,5,2020-W21,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-05-25,2020,5,2020-W22,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-06-01,2020,6,2020-W23,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-06-08,2020,6,2020-W24,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-06-15,2020,6,2020-W25,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-06-22,2020,6,2020-W26,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-06-29,2020,6,2020-W27,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-07-06,2020,7,2020-W28,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-07-13,2020,7,2020-W29,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-07-20,2020,7,2020-W30,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-07-27,2020,7,2020-W31,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-08-03,2020,8,2020-W32,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-08-10,2020,8,2020-W33,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020-08-17,2020,8,2020-W34,Analamanga,-18.9137,47.5247,eleve,4290727,0,0,0,0,0,0,0,0,0.0,0.0,0.0
