date,annee,mois,semaine_epidemio,region,latitude_region,longitude_region,population_region,incidence_regionale_annuelle,cas_pulmonaire_bacillifere,cas_pulmonaire_non_bacillifere,cas_extra_pulmonaire,cas_tb_multiresistante,nouveaux_cas,cas_coinfection_vih,deces_coinfection_vih,cas_enfants_moins_15_ans,cas_adultes_15_54_ans,cas_seniors_55_plus,tests_geneXpert_realises,tests_microscopie_realises,tests_lam_realises,cas_non_diagnostiques,patients_sous_traitement,patients_gueris,patients_abandon,patients_echec,deces,cas_detectes_prison,taux_incidence,taux_incidence_annuel,taux_letalite,taux_depistage,taux_succes_therapeutique
2020-01-06,2020,1,2020-W02,Analanjirofo,-17.3333,49.4,864183,280,23,10,7,1,42,10,0,5,27,10,29,10,3,14,35,27,4,3,11,0,280,280,26.19,65.0,78.0
2020-01-06,2020,1,2020-W02,Analamanga,-18.9137,47.5247,4290727,260,114,52,37,3,209,52,4,25,135,49,146,52,15,73,177,138,21,17,47,0,260,260,22.49,65.0,78.0
2020-01-06,2020,1,2020-W02,Atsinanana,-18.1492,49.4023,1750511,255,40,18,13,1,73,18,1,8,47,18,51,18,5,25,62,48,7,6,16,0,255,255,21.92,65.0,78.0
2020-01-06,2020,1,2020-W02,Sofia,-14.8833,48.0333,1784988,250,49,22,16,0,90,22,1,10,58,22,62,22,6,31,76,59,9,7,22,0,250,250,24.44,65.0,78.0
2020-01-06,2020,1,2020-W02,Vakinankaratra,-19.8667,47.0333,2462316,230,59,27,19,0,109,27,2,13,70,26,76,27,8,38,92,71,11,9,24,0,230,230,22.02,65.0,78.0
2020-01-06,2020,1,2020-W02,Haute Matsiatra,-21.4536,47.0854,1710391,225,44,20,14,0,80,20,1,9,52,19,56,20,6,28,68,53,8,6,20,0,225,225,25.0,65.0,78.0
2020-01-06,2020,1,2020-W02,Boeny,-15.7167,46.3167,1100305,220,22,10,7,0,40,10,0,4,26,10,28,10,3,14,34,26,4,3,9,0,220,220,22.5,65.0,78.0
2020-01-06,2020,1,2020-W02,Alaotra-Mangoro,-17.8333,48.4167,1479918,215,28,13,9,0,52,13,1,6,33,13,36,13,3,18,44,34,5,4,12,0,215,215,23.08,65.0,78.0
2020-01-06,2020,1,2020-W02,SAVA,-14.2833,50.1667,1330546,210,28,12,9,0,51,12,0,6,33,12,35,12,3,17,43,33,5,4,12,0,210,210,23.53,65.0,78.0
2020-01-06,2020,1,2020-W02,Atsimo-Andrefana,-23.35,43.6667,2128706,205,40,18,13,0,74,18,1,8,48,18,51,18,5,25,62,48,7,6,18,0,205,205,24.32,65.0,78.0
2020-01-06,2020,1,2020-W02,Itasy,-19.0167,46.7667,1063882,190,17,8,5,0,32,8,0,3,20,9,22,8,2,11,27,21,3,2,7,0,190,190,21.88,65.0,78.0
2020-01-06,2020,1,2020-W02,Bongolava,-18.9333,45.6667,794456,185,13,6,4,0,25,6,0,3,16,6,17,6,1,8,21,16,2,2,6,0,185,185,24.0,65.0,78.0
2020-01-06,2020,1,2020-W02,Diana,-12.2787,49.2917,1053715,180,20,9,6,0,37,9,0,4,24,9,25,9,2,12,31,24,3,3,8,0,180,180,21.62,65.0,78.0
2020-01-06,2020,1,2020-W02,Amoron'i Mania,-20.0,47.1167,991145,175,17,7,5,0,31,7,0,3,20,8,21,7,2,10,26,20,3,2,7,0,175,175,22.58,65.0,78.0
2020-01-06,2020,1,2020-W02,Atsimo-Atsinanana,-22.9,47.65,1220000,170,17,8,5,0,32,8,0,3,20,9,22,8,2,11,27,21,3,2,7,0,170,170,21.88,65.0,78.0
2020-01-06,2020,1,2020-W02,Fitovinany,-21.45,47.6167,1011279,165,14,6,4,0,27,6,0,3,17,7,18,6,1,9,22,17,2,2,6,0,165,165,22.22,65.0,78.0
2020-01-06,2020,1,2020-W02,Ihorombe,-22.55,46.95,494097,160,8,4,2,0,16,4,0,1,10,5,11,4,1,5,13,10,1,1,4,0,160,160,25.0,65.0,78.0
2020-01-06,2020,1,2020-W02,Betsiboka,-16.95,46.8167,465641,155,7,3,2,0,14,3,0,1,9,4,9,3,0,4,11,8,1,1,3,0,155,155,21.43,65.0,78.0
2020-01-06,2020,1,2020-W02,Melaky,-16.1167,44.7667,365790,150,4,2,1,0,8,2,0,0,5,3,5,2,0,2,6,4,0,0,2,0,150,150,25.0,65.0,78.0
2020-01-06,2020,1,2020-W02,Ambatosoa,-21.0333,47.6333,652462,150,9,4,3,0,17,4,0,2,11,4,11,4,1,5,14,10,1,1,3,0,150,150,17.65,65.0,78.0
2020-01-06,2020,1,2020-W02,Androy,-25.1667,46.0833,1065878,145,15,7,5,0,28,7,0,3,18,7,19,7,2,9,23,17,2,2,6,0,145,145,21.43,65.0,78.0
2020-01-06,2020,1,2020-W02,Anosy,-25.0333,46.9833,957916,140,14,6,4,0,27,6,0,3,17,7,18,6,1,9,22,17,2,2,6,0,140,140,22.22,65.0,78.0
2020-01-06,2020,1,2020-W02,Menabe,-20.2833,44.7833,819876,135,11,5,3,0,21,5,0,2,13,6,14,5,1,7,17,13,2,1,4,0,135,135,19.05,65.0,78.0
2020-01-06,2020,1,2020-W02,Vatovavy,-21.3167,47.9333,576905,130,7,3,2,0,13,3,0,1,8,4,9,3,0,4,11,8,1,1,3,0,130,130,23.08,65.0,78.0
2020-01-13,2020,1,2020-W03,Analanjirofo,-17.3333,49.4,864183,280,22,10,7,1,40,10,0,4,26,10,28,10,3,14,34,26,4,3,10,0,280,280,25.0,65.0,78.0
2020-01-13,2020,1,2020-W03,Analamanga,-18.9137,47.5247,4290727,260,126,57,41,3,230,57,4,27,149,54,161,57,17,80,195,152,23,19,60,0,260,260,26.09,65.0,78.0
2020-01-13,2020,1,2020-W03,Atsinanana,-18.1492,49.4023,1750511,255,45,20,14,1,83,20,1,9,53,21,58,20,6,29,70,54,8,7,21,0,255,255,25.3,65.0,78.0
2020-01-13,2020,1,2020-W03,Sofia,-14.8833,48.0333,1784988,250,39,17,12,0,71,17,1,8,46,17,49,17,5,24,60,46,7,6,16,0,250,250,22.54,65.0,78.0
2020-01-13,2020,1,2020-W03,Vakinankaratra,-19.8667,47.0333,2462316,230,48,22,16,0,89,22,1,10,57,22,62,22,6,31,75,58,9,7,20,0,230,230,22.47,65.0,78.0
2020-01-13,2020,1,2020-W03,Haute Matsiatra,-21.4536,47.0854,1710391,225,36,16,12,0,67,16,1,8,43,16,46,16,4,23,56,43,6,5,15,0,225,225,22.39,65.0,78.0
2020-01-13,2020,1,2020-W03,Boeny,-15.7167,46.3167,1100305,220,26,12,8,0,48,12,0,5,31,12,33,12,3,16,40,31,4,4,11,0,220,220,22.92,65.0,78.0
2020-01-13,2020,1,2020-W03,Alaotra-Mangoro,-17.8333,48.4167,1479918,215,29,13,9,0,54,13,1,6,35,13,37,13,3,18,45,35,5,4,13,0,215,215,24.07,65.0,78.0
2020-01-13,2020,1,2020-W03,SAVA,-14.2833,50.1667,1330546,210,24,11,8,0,45,11,0,5,29,11,31,11,3,15,38,29,4,3,11,0,210,210,24.44,65.0,78.0
2020-01-13,2020,1,2020-W03,Atsimo-Andrefana,-23.35,43.6667,2128706,205,37,17,12,0,69,17,1,8,44,17,48,17,5,24,58,45,6,5,18,0,205,205,26.09,65.0,78.0
2020-01-13,2020,1,2020-W03,Itasy,-19.0167,46.7667,1063882,190,21,9,7,0,39,9,0,4,25,10,27,9,2,13,33,25,3,3,8,0,190,190,20.51,65.0,78.0
2020-01-13,2020,1,2020-W03,Bongolava,-18.9333,45.6667,794456,185,12,5,3,0,22,5,0,2,14,6,15,5,1,7,18,14,2,1,5,0,185,185,22.73,65.0,78.0
2020-01-13,2020,1,2020-W03,Diana,-12.2787,49.2917,1053715,180,19,9,6,0,36,9,0,4,23,9,25,9,2,12,30,23,3,3,9,0,180,180,25.0,65.0,78.0
2020-01-13,2020,1,2020-W03,Amoron'i Mania,-20.0,47.1167,991145,175,18,8,6,0,34,8,0,4,22,8,23,8,2,11,28,21,3,2,7,0,175,175,20.59,65.0,78.0
2020-01-13,2020,1,2020-W03,Atsimo-Atsinanana,-22.9,47.65,1220000,170,19,9,6,0,36,9,0,4,23,9,25,9,2,12,30,23,3,3,8,0,170,170,22.22,65.0,78.0
2020-01-13,2020,1,2020-W03,Fitovinany,-21.45,47.6167,1011279,165,18,8,5,0,33,8,0,3,21,9,23,8,2,11,28,21,3,2,8,0,165,165,24.24,65.0,78.0
2020-01-13,2020,1,2020-W03,Ihorombe,-22.55,46.95,494097,160,7,3,2,0,13,3,0,1,8,4,9,3,0,4,11,8,1,1,2,0,160,160,15.38,65.0,78.0
2020-01-13,2020,1,2020-W03,Betsiboka,-16.95,46.8167,465641,155,6,3,2,0,12,3,0,1,7,4,8,3,0,4,10,7,1,1,2,0,155,155,16.67,65.0,78.0
2020-01-13,2020,1,2020-W03,Melaky,-16.1167,44.7667,365790,150,5,2,1,0,10,2,0,1,6,3,7,2,0,3,8,6,0,0,2,0,150,150,20.0,65.0,78.0
2020-01-13,2020,1,2020-W03,Ambatosoa,-21.0333,47.6333,652462,150,10,4,3,0,19,4,0,2,12,5,13,4,1,6,16,12,1,1,4,0,150,150,21.05,65.0,78.0
2020-01-13,2020,1,2020-W03,Androy,-25.1667,46.0833,1065878,145,13,6,4,0,25,6,0,3,16,6,17,6,1,8,21,16,2,2,6,0,145,145,24.0,65.0,78.0
2020-01-13,2020,1,2020-W03,Anosy,-25.0333,46.9833,957916,140,14,6,4,0,26,6,0,3,16,7,18,6,1,9,22,17,2,2,6,0,140,140,23.08,65.0,78.0
2020-01-13,2020,1,2020-W03,Menabe,-20.2833,44.7833,819876,135,11,5,3,0,21,5,0,2,13,6,14,5,1,7,17,13,2,1,5,0,135,135,23.81,65.0,78.0
2020-01-13,2020,1,2020-W03,Vatovavy,-21.3167,47.9333,576905,130,7,3,2,0,13,3,0,1,8,4,9,3,0,4,11,8,1,1,3,0,130,130,23.08,65.0,78.0
2020-01-20,2020,1,2020-W04,Analanjirofo,-17.3333,49.4,864183,280,20,9,6,1,37,9,0,4,24,9,25,9,2,12,31,24,3,3,8,11,280,280,21.62,65.0,78.0
2020-01-20,2020,1,2020-W04,Analamanga,-18.9137,47.5247,4290727,260,105,48,34,2,192,48,3,23,124,45,134,48,14,67,163,127,19,16,46,0,260,260,23.96,65.0,78.0
2020-01-20,2020,1,2020-W04,Atsinanana,-18.1492,49.4023,1750511,255,50,22,16,1,91,22,1,10,59,22,63,22,6,31,77,60,9,7,21,0,255,255,23.08,65.0,78.0
2020-01-20,2020,1,2020-W04,Sofia,-14.8833,48.0333,1784988,250,43,19,14,0,79,19,1,9,51,19,55,19,5,27,67,52,8,6,20,0,250,250,25.32,65.0,78.0
